institution,type,in-state-cost,out-state-cost
Alabama A & M University,Public,23462,32072
Alabama State University,Public,22110,30438
Auburn University,Public,31590,50838
Auburn University at Montgomery,Public,20314,29722
Birmingham Southern College,Private,34400,34400
Faulkner University,Private,35440,35440
Heritage Christian University,Private,20695,20695
Huntingdon College,Private,38485,38485
Jacksonville State University,Public,19613,27389
Judson College,Private,33272,33272
Miles College,Private,22418,22418
Oakwood University,Private,38762,38762
Samford University,Private,47863,47863
Selma University,Private,19810,19810
Spring Hill College,Private,57676,57676
Stillman College,Private,25092,25092
Talladega College,Private,23745,23745
The University of Alabama,Public,29872,48322
Troy University,Public,20147,27947
Tuskegee University,Private,39383,39383
University of Alabama at Birmingham,Public,26336,37472
University of Alabama in Huntsville,Public,26650,38298
University of Mobile,Private,39380,39380
University of Montevallo,Public,26290,39310
University of North Alabama,Public,22112,30422
University of South Alabama,Public,21706,29602
University of West Alabama,Public,21841,30291
Alaska Bible College,Private,19980,19980
Alaska Pacific University,Private,34600,34600
Ilisagvik College,Public,21080,21080
University of Alaska Anchorage,Public,27190,43372
University of Alaska Fairbanks,Public,20281,33842
University of Alaska Southeast,Public,20140,32904
Arizona Christian University,Private,42670,42670
Arizona State University-Downtown Phoenix,Public,29984,47498
Arizona State University-Polytechnic,Public,26101,41837
Arizona State University-Skysong,Public,27521,35833
Arizona State University-Tempe,Public,28048,45562
Arizona State University-West,Public,26006,41742
Dine College,Public,12000,12000
Embry-Riddle Aeronautical University-Prescott,Private,53046,53046
Grand Canyon University,For-Profit,32100,32100
International Baptist College and Seminary,Private,25029,25029
Northern Arizona University,Public,27266,41530
Ottawa University-Surprise,Private,44295,44295
Prescott College,Private,43295,43295
University of Advancing Technology,For-Profit,26068,26068
University of Arizona,Public,29217,53116
Arkansas Baptist College,Private,23060,23060
Arkansas State University-Main Campus,Public,23101,29791
Arkansas Tech University,Public,18785,24209
Central Baptist College,Private,27304,27304
Champion Christian College,Private,13840,13840
Crowley’s Ridge College,Private,22910,22910
Ecclesia College,Private,28430,28430
Harding University,Private,30671,30671
Henderson State University,Public,20996,22646
Hendrix College,Private,63174,63174
John Brown University,Private,39802,39802
Lyon College,Private,41420,41420
Ouachita Baptist University,Private,38770,38770
Philander Smith College,Private,26007,26007
Southern Arkansas University Main Campus,Public,23051,27131
University of Arkansas,Public,25500,41538
University of Arkansas at Little Rock,Public,24073,36283
University of Arkansas at Monticello,Public,18812,24662
University of Arkansas at Pine Bluff,Public,20790,27150
University of Arkansas-Fort Smith,Public,19983,27056
University of Central Arkansas,Public,22563,29086
University of the Ozarks,Private,35030,35030
Williams Baptist University,Private,29630,29630
Academy of Art University,For-Profit,44226,44226
American Jewish University,Private,54615,54615
Azusa Pacific University,Private,54144,54144
Biola University,Private,56956,56956
California Aeronautical University,For-Profit,54335,54335
California Baptist University,Private,47694,47694
California Christian College,Private,21611,21611
California College of the Arts,Private,67074,67074
California Institute of Technology,Private,72084,72084
California Institute of the Arts,Private,71135,71135
California Lutheran University,Private,61599,61599
California Polytechnic State University-San Luis Obispo,Public,28302,40182
California State Polytechnic University-Pomona,Public,28891,40771
California State University Maritime Academy,Public,27350,39230
California State University-Bakersfield,Public,26009,37889
California State University-Channel Islands,Public,25517,37397
California State University-Chico,Public,24624,36504
California State University-Dominguez Hills,Public,23722,35602
California State University-East Bay,Public,25143,37023
California State University-Fresno,Public,21418,33298
California State University-Fullerton,Public,27738,39618
California State University-Long Beach,Public,24738,36618
California State University-Los Angeles,Public,26139,38019
California State University-Monterey Bay,Public,23564,35444
California State University-Northridge,Public,22969,34849
California State University-Sacramento,Public,26454,38334
California State University-San Bernardino,Public,23878,35758
California State University-San Marcos,Public,25325,37205
California State University-Stanislaus,Public,21886,33766
Chapman University,Private,73182,73182
Claremont McKenna College,Private,73810,73810
Cogswell College,For-Profit,40272,40272
Concordia University-Irvine,Private,51930,51930
Dominican University of California,Private,65818,65818
Feather River Community College District,Public,16027,23077
Fresno Pacific University,Private,46569,46569
Harvey Mudd College,Private,76947,76947
Holy Names University,Private,57674,57674
Hope International University,Private,49047,49047
Humboldt State University,Public,24811,36691
John Paul the Great Catholic University,Private,43512,43512
La Sierra University,Private,48267,48267
Laguna College of Art and Design,Private,51400,51400
Life Pacific College,Private,29301,29301
Loyola Marymount University,Private,67369,67369
Marymount California University,Private,55822,55822
Menlo College,Private,60318,60318
Mills College,Private,47784,47784
Minerva Schools at Keck Graduate Institute,Private,26950,26950
Mount Saint Mary’s University,Private,61287,61287
Musicians Institute,For-Profit,42255,42255
Notre Dame de Namur University,Private,56288,56288
Occidental College,Private,74132,74132
Otis College of Art and Design,Private,66160,66160
Pacific Union College,Private,43527,43527
Pepperdine University,Private,73002,73002
Pitzer College,Private,72900,72900
Point Loma Nazarene University,Private,51308,51308
Pomona College,Private,71996,71996
Providence Christian College,Private,45929,45929
Saint Mary’s College of California,Private,67168,67168
San Diego Christian College,Private,48400,48400
San Diego State University,Public,29318,41170
San Francisco Art Institute,Private,71069,71069
San Francisco Conservatory of Music,Private,66900,66900
San Francisco State University,Public,27480,39360
San Jose State University,Public,29193,41073
Santa Clara University,Private,71778,71778
Scripps College,Private,73756,73756
Shasta Bible College and Graduate School,Private,25900,25900
Shasta College,Public,11397,17013
Simpson University,Private,43925,43925
Soka University of America,Private,48996,48996
Sonoma State University,Public,26626,38506
Southern California Seminary,Private,35141,35141
Stanford University,Private,71587,71587
SUM Bible College and Theological Seminary,Private,22990,22990
The Colburn Conservatory of Music,Private,76427,76427
The Master’s University and Seminary,Private,40582,40582
Thomas Aquinas College,Private,36738,36738
University of California-Berkeley,Public,38066,67058
University of California-Davis,Public,35177,64169
University of California-Irvine,Public,34261,63253
University of California-Los Angeles,Public,34620,63612
University of California-Merced,Public,35663,64655
University of California-Riverside,Public,35242,64234
University of California-San Diego,Public,32838,61830
University of California-Santa Barbara,Public,36659,65651
University of California-Santa Cruz,Public,36217,65209
